PRIMEIRO_NOME;primeiro_sobrenome;segundo_sobrenome;PAIS;estado
Ana;Almeida;Almeida;Chile;Ceará
Gustavo;Pereira;Sousa;Chile;Ceará
Pedro;Ferreira;Pereira;Argentina;Rio Grande do Sul
Ana;Pereira;Santos;Argentina;Ceará
Maria;Sousa;Costa;Argentina;São Paulo
Pedro;Santos;Ferreira;Brasil;Pernambuco
Carlos;Silva;Almeida;Chile;Rio Grande do Sul
Carlos;Ferreira;Silva;Brasil;Bahia
Pedro;Almeida;Costa;Chile;Rio de Janeiro
Gustavo;Santos;Lima;Chile;Minas Gerais
Maria;Silva;Almeida;Colômbia;Pernambuco
Gustavo;Ferreira;Sousa;Brasil;Rio de Janeiro
Gustavo;Costa;Sousa;Brasil;Rio Grande do Sul
Ricardo;Almeida;Pereira;Colômbia;Ceará
Pedro;Martins;Almeida;Argentina;Minas Gerais
João;Oliveira;Santos;Chile;Rio de Janeiro
Fernanda;Costa;Ferreira;Chile;Rio de Janeiro
Camila;Lima;Almeida;Argentina;Ceará
Ricardo;Silva;Costa;Colômbia;Rio Grande do Sul
Gustavo;Silva;Sousa;Chile;Pernambuco
João;Costa;Almeida;Colômbia;Bahia
Camila;Silva;Lima;Colômbia;Minas Gerais
Camila;Oliveira;Ferreira;Colômbia;São Paulo
João;Santos;Sousa;Brasil;Rio de Janeiro
Carlos;Almeida;Almeida;Brasil;Rio Grande do Sul
Fernanda;Lima;Lima;Portugal;São Paulo
Camila;Martins;Santos;Chile;Rio de Janeiro
Ana;Sousa;Martins;Portugal;Bahia
Gustavo;Martins;Martins;Colômbia;Pernambuco
Maria;Silva;Sousa;Chile;São Paulo
João;Lima;Ferreira;Argentina;Rio Grande do Sul
Ana;Sousa;Silva;Brasil;Paraná
Maria;Lima;Martins;Brasil;Minas Gerais
Maria;Costa;Santos;Argentina;Ceará
Fernanda;Martins;Silva;Chile;Pernambuco
João;Lima;Oliveira;Argentina;São Paulo
Luísa;Ferreira;Santos;Argentina;Bahia
Gustavo;Costa;Lima;Portugal;São Paulo
Pedro;Ferreira;Pereira;Chile;Rio Grande do Sul
Pedro;Pereira;Ferreira;Brasil;Bahia
Carlos;Sousa;Ferreira;Portugal;Bahia
Maria;Almeida;Santos;Brasil;Rio de Janeiro
Maria;Martins;Oliveira;Argentina;Rio de Janeiro
Ana;Santos;Santos;Chile;Paraná
João;Martins;Santos;Colômbia;Pernambuco
Fernanda;Silva;Oliveira;Brasil;Ceará
Ricardo;Silva;Silva;Portugal;Pernambuco
Pedro;Costa;Silva;Chile;Rio de Janeiro
Carlos;Martins;Costa;Brasil;Bahia
Ana;Silva;Oliveira;Chile;Rio Grande do Sul
Fernanda;Sousa;Silva;Portugal;São Paulo
Luísa;Pereira;Lima;Brasil;Ceará
Carlos;Santos;Pereira;Portugal;Rio Grande do Sul
Camila;Ferreira;Martins;Chile;Pernambuco
João;Lima;Martins;Portugal;Paraná
Camila;Silva;Costa;Portugal;Bahia
João;Pereira;Lima;Argentina;Pernambuco
Luísa;Almeida;Oliveira;Argentina;Bahia
Ana;Pereira;Ferreira;Chile;Minas Gerais
Gustavo;Oliveira;Lima;Brasil;Paraná
Ana;Lima;Silva;Portugal;São Paulo
João;Martins;Almeida;Chile;Ceará
Ana;Silva;Costa;Argentina;São Paulo
João;Santos;Pereira;Portugal;Paraná
Maria;Silva;Ferreira;Brasil;Rio Grande do Sul
